/bin/bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
START TIME: Sun May 25 02:59:52 CEST 2025 --sl 4096
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
slurmstepd: error: couldn't chdir to `/workspace': No such file or directory: going to /tmp instead
/usr/bin/bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
/users/ahkhan/.bashrc: line 33: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
INFO:root:Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=4096, batch_size=1, fused_optimizer=True, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=5, profile=False, profile_step_start=10, profile_step_end=12, grad_max_norm=1, model_dtype='bf16', compile=False, output_dir='/iopsstor/scratch/cscs/ahkhan/project/output/data', fp8_train=False, fp8_recipe='tensorwise', attention_backend='flash-attn', job_name='flash-attn-fa')
2025-05-25 03:00:10,659 - root - INFO - Experiment args: Namespace(dataset='/capstor/store/cscs/ethz/large-sc/datasets/train_data.parquet', tokenizer_name_or_path='unsloth/Mistral-Nemo-Base-2407-bnb-4bit', sequence_length=4096, batch_size=1, fused_optimizer=True, learning_rate=5e-05, lr_warmup_steps=100, training_steps=1000, logging_frequency=5, profile=False, profile_step_start=10, profile_step_end=12, grad_max_norm=1, model_dtype='bf16', compile=False, output_dir='/iopsstor/scratch/cscs/ahkhan/project/output/data', fp8_train=False, fp8_recipe='tensorwise', attention_backend='flash-attn', job_name='flash-attn-fa')
INFO:root:Setting up DataLoaders...
2025-05-25 03:00:10,660 - root - INFO - Setting up DataLoaders...
INFO:root:Setting up Model...
2025-05-25 03:00:13,879 - root - INFO - Setting up Model...
INFO:root:Starting training!
2025-05-25 03:00:47,964 - root - INFO - Starting training!
2025-05-25 03:02:03,358 - root - INFO - Step: 150 | Loss: 7.85 | Tokens per second: 8455.79 | Training tokens per second (%): 19.74 | MFU (%): 44.07 | TFLOPs: 435.82
INFO:root:Step: 155 | Loss: 7.33 | Tokens per second: 8219.33 | Training tokens per second (%): 37.10 | MFU (%): 42.83 | TFLOPs: 423.63
2025-05-25 03:02:05,903 - root - INFO - Step: 155 | Loss: 7.33 | Tokens per second: 8219.33 | Training tokens per second (%): 37.10 | MFU (%): 42.83 | TFLOPs: 423.63
INFO:root:Step: 160 | Loss: 6.81 | Tokens per second: 8404.93 | Training tokens per second (%): 22.84 | MFU (%): 43.80 | TFLOPs: 433.20
2025-05-25 03:02:08,392 - root - INFO - Step: 160 | Loss: 6.81 | Tokens per second: 8404.93 | Training tokens per second (%): 22.84 | MFU (%): 43.80 | TFLOPs: 433.20
INFO:root:Step: 165 | Loss: 7.21 | Tokens per second: 8373.16 | Training tokens per second (%): 26.44 | MFU (%): 43.64 | TFLOPs: 431.56
2025-05-25 03:02:10,890 - root - INFO - Step: 165 | Loss: 7.21 | Tokens per second: 8373.16 | Training tokens per second (%): 26.44 | MFU (%): 43.64 | TFLOPs: 431.56
INFO:root:Step: 170 | Loss: 7.92 | Tokens per second: 8206.77 | Training tokens per second (%): 39.34 | MFU (%): 42.77 | TFLOPs: 422.99
2025-05-25 03:02:13,438 - root - INFO - Step: 170 | Loss: 7.92 | Tokens per second: 8206.77 | Training tokens per second (%): 39.34 | MFU (%): 42.77 | TFLOPs: 422.99
INFO:root:Step: 175 | Loss: 7.46 | Tokens per second: 8453.06 | Training tokens per second (%): 19.59 | MFU (%): 44.05 | TFLOPs: 435.68
2025-05-25 03:02:15,913 - root - INFO - Step: 175 | Loss: 7.46 | Tokens per second: 8453.06 | Training tokens per second (%): 19.59 | MFU (%): 44.05 | TFLOPs: 435.68
INFO:root:Step: 180 | Loss: 7.01 | Tokens per second: 8490.29 | Training tokens per second (%): 14.69 | MFU (%): 44.25 | TFLOPs: 437.60
2025-05-25 03:02:18,378 - root - INFO - Step: 180 | Loss: 7.01 | Tokens per second: 8490.29 | Training tokens per second (%): 14.69 | MFU (%): 44.25 | TFLOPs: 437.60
INFO:root:Step: 185 | Loss: 7.64 | Tokens per second: 8529.64 | Training tokens per second (%): 13.71 | MFU (%): 44.45 | TFLOPs: 439.63
2025-05-25 03:02:20,832 - root - INFO - Step: 185 | Loss: 7.64 | Tokens per second: 8529.64 | Training tokens per second (%): 13.71 | MFU (%): 44.45 | TFLOPs: 439.63
INFO:root:Step: 190 | Loss: 7.25 | Tokens per second: 8431.97 | Training tokens per second (%): 21.21 | MFU (%): 43.94 | TFLOPs: 434.59
2025-05-25 03:02:23,313 - root - INFO - Step: 190 | Loss: 7.25 | Tokens per second: 8431.97 | Training tokens per second (%): 21.21 | MFU (%): 43.94 | TFLOPs: 434.59
INFO:root:Step: 195 | Loss: 7.58 | Tokens per second: 8164.87 | Training tokens per second (%): 42.67 | MFU (%): 42.55 | TFLOPs: 420.83
2025-05-25 03:02:25,874 - root - INFO - Step: 195 | Loss: 7.58 | Tokens per second: 8164.87 | Training tokens per second (%): 42.67 | MFU (%): 42.55 | TFLOPs: 420.83
INFO:root:Step: 200 | Loss: 7.93 | Tokens per second: 8483.27 | Training tokens per second (%): 16.92 | MFU (%): 44.21 | TFLOPs: 437.24
2025-05-25 03:02:28,341 - root - INFO - Step: 200 | Loss: 7.93 | Tokens per second: 8483.27 | Training tokens per second (%): 16.92 | MFU (%): 44.21 | TFLOPs: 437.24
INFO:root:Step: 205 | Loss: 6.90 | Tokens per second: 8583.26 | Training tokens per second (%): 9.70 | MFU (%): 44.73 | TFLOPs: 442.39
2025-05-25 03:02:30,779 - root - INFO - Step: 205 | Loss: 6.90 | Tokens per second: 8583.26 | Training tokens per second (%): 9.70 | MFU (%): 44.73 | TFLOPs: 442.39
INFO:root:Step: 210 | Loss: 7.34 | Tokens per second: 8440.70 | Training tokens per second (%): 19.35 | MFU (%): 43.99 | TFLOPs: 435.04
2025-05-25 03:02:33,258 - root - INFO - Step: 210 | Loss: 7.34 | Tokens per second: 8440.70 | Training tokens per second (%): 19.35 | MFU (%): 43.99 | TFLOPs: 435.04
INFO:root:Step: 215 | Loss: 7.13 | Tokens per second: 8536.05 | Training tokens per second (%): 12.01 | MFU (%): 44.49 | TFLOPs: 439.96
2025-05-25 03:02:35,709 - root - INFO - Step: 215 | Loss: 7.13 | Tokens per second: 8536.05 | Training tokens per second (%): 12.01 | MFU (%): 44.49 | TFLOPs: 439.96
INFO:root:Step: 220 | Loss: 7.42 | Tokens per second: 8529.48 | Training tokens per second (%): 12.01 | MFU (%): 44.45 | TFLOPs: 439.62
2025-05-25 03:02:38,163 - root - INFO - Step: 220 | Loss: 7.42 | Tokens per second: 8529.48 | Training tokens per second (%): 12.01 | MFU (%): 44.45 | TFLOPs: 439.62
INFO:root:Step: 225 | Loss: 7.20 | Tokens per second: 8352.86 | Training tokens per second (%): 25.42 | MFU (%): 43.53 | TFLOPs: 430.52
